EmployeeID,Department,Formation,Duree_jours,Date,Cout_USD
EMP-0080,r&d,Customer Relations,1,05-18-2023,750.00
EMP-0081,Sales,Customer Relations,2,10/05/2023,1500
EMP-0081,Sales,Project Management,3,15/12/2021,$1000
EMP-0083,r&d,Technical Skills,2,2023/11/30,$500
EMP-0083,RandD,Leadership & Management,2,2022/12/04,1 000
EMP-0083,R&D,HR Policies,2,23/02/2023,$200
EMP-0084,RandD,Onboarding,1,2020/08/02,200
EMP-0084,R&D,Leadership & Management,2,2023/03/30,350
EMP-0084,r&d,Leadership & Management,5,02-26-2023,$1500
EMP-0085,R&D,Onboarding,2,2021/02/26,750
EMP-0091,sales,Excel & Reporting,2,09-26-2022,750.00
EMP-0091,SALES,HR Policies,5,21/02/2023,1500.00
EMP-0094,RandD,Onboarding,2,04-15-2022,$1000
EMP-0095,RandD,Excel & Reporting,5,20/10/2023,350.00
EMP-0095,r&d,Communication,5,2020/06/03,1 500
EMP-0095,R&D,Technical Skills,5,2023/11/28,750.00
EMP-0097,R&D,Project Management,3,2023/01/04,750.00
EMP-0097,R&D,Customer Relations,3,02-27-2020,$750
EMP-0100,sales,Onboarding,3,2021/01/16,750
EMP-0100,sales,Customer Relations,5,03-10-2020,200
EMP-0100,Sales,HR Policies,1,21/10/2022,750.00
EMP-0101,,Data Analysis,5,06-04-2021,1 000
EMP-0103,HR,Communication,2,07-29-2023,$1000
EMP-0103,HR,Onboarding,2,2021/12/01,200
EMP-0103,hr,Excel & Reporting,5,29/03/2023,500
EMP-0104,R&D,Excel & Reporting,5,30/10/2020,$500
EMP-0104,r&d,Security & Compliance,3,08-04-2022,$750
EMP-0105,RandD,Customer Relations,1,2023/04/21,200.00
EMP-0110,RandD,Onboarding,2,12-06-2021,1 000
,R&D,Security & Compliance,3,07-08-2022,$1500
EMP-0112,R&D,HR Policies,2,21/09/2020,1500
EMP-0113,Sales,Leadership & Management,5,03-05-2021,1 500
EMP-0116,r&d,HR Policies,1,01-03-2023,$200
EMP-0120,sales,HR Policies,3,01-08-2021,1000
EMP-0120,SALES,Onboarding,3,09-13-2020,1000.00
EMP-0120,sales,Customer Relations,5,2022/09/24,500
EMP-0121,sales,Data Analysis,5,03/01/2022,$750
EMP-0121,sales,HR Policies,1,2022/04/01,750.00
EMP-0128,sales,Data Analysis,3,10-04-2022,$200
EMP-0128,Sales,Customer Relations,2,2020/09/04,1000.00
EMP-0129,SALES,Leadership & Management,1,03/11/2020,350
EMP-0129,SALES,Project Management,3,2023/07/26,200
EMP-0132,R&D,Excel & Reporting,2,06-17-2023,750
EMP-0132,RandD,Security & Compliance,2,2020/05/14,750
EMP-0137,R&D,Customer Relations,1,10-06-2022,$200
EMP-0141,R&D,Excel & Reporting,5,10/02/2022,750
EMP-0141,r&d,Leadership & Management,1,12/03/2021,750.00
EMP-0141,RandD,Project Management,3,06/03/2020,1 000
EMP-0144,r&d,Leadership & Management,5,03/10/2023,$200
EMP-0144,R&D,Technical Skills,3,14/03/2022,350
EMP-0145,RandD,HR Policies,1,2023/03/13,$500
EMP-0148,HR,Excel & Reporting,3,06/02/2022,1500.00
EMP-0150,R&D,Data Analysis,5,2022/09/19,1500.00
EMP-0150,RandD,Communication,5,2023/01/02,$1500
EMP-0151,RandD,Project Management,2,12-18-2021,1000
EMP-0152,SALES,Excel & Reporting,1,02-08-2020,200
EMP-0152,SALES,Leadership & Management,5,26/02/2021,1500.00
EMP-0152,SALES,Customer Relations,2,20/09/2022,200
EMP-0153,R&D,Data Analysis,1,2023/10/13,350
EMP-0153,R&D,Technical Skills,2,05-19-2021,200
EMP-0153,R&D,Communication,5,02-25-2021,500.00
EMP-0154,Sales,Customer Relations,1,2021/05/26,1500.00
EMP-0154,SALES,Security & Compliance,3,24/10/2021,350.00
EMP-0154,Sales,Onboarding,5,06/05/2021,500
EMP-0160,Sales,HR Policies,1,2022/06/28,1500
EMP-0161,R&D,Leadership & Management,2,02-21-2020,750
EMP-0161,r&d,HR Policies,2,31/01/2020,750
EMP-0161,R&D,Technical Skills,3,05-10-2020,$350
EMP-0162,R&D,Onboarding,1,03-09-2020,$500
EMP-0164,R&D,Excel & Reporting,2,10-23-2020,$1000
EMP-0164,R&D,Excel & Reporting,1,2020/09/25,350
EMP-0170,r&d,Data Analysis,3,10-07-2021,$1000
EMP-0170,R&D,Communication,2,03/02/2021,$750
EMP-0174,Sales,Leadership & Management,2,2022/03/04,350
EMP-0174,,Customer Relations,5,2021/01/19,$750
EMP-0176,sales,Security & Compliance,1,16/02/2023,1 000
EMP-0176,SALES,Customer Relations,3,2020/07/04,$1000
EMP-0177,HR,Security & Compliance,2,03-29-2021,750
EMP-0178,RandD,Technical Skills,3,07/08/2021,350
EMP-0178,RandD,Technical Skills,2,06-03-2023,350
EMP-0179,RandD,Onboarding,3,29/10/2023,350.00
EMP-0182,Sales,Technical Skills,2,01-26-2023,$500
EMP-0182,Sales,Onboarding,5,2023/05/20,1500
EMP-0182,sales,Communication,3,31/08/2020,200.00
EMP-0183,sales,Security & Compliance,5,2022/04/23,$350
EMP-0190,,Security & Compliance,3,11/04/2022,200
EMP-0190,RandD,Excel & Reporting,2,29/12/2020,200
EMP-0190,R&D,Technical Skills,5,04-04-2022,1 000
EMP-0192,R&D,Communication,2,2022/06/09,1000.00
EMP-0192,R&D,Communication,5,12-24-2021,200
EMP-0192,R&D,Communication,2,05-24-2021,750
EMP-0194,R&D,Customer Relations,3,2022/08/22,500
EMP-0197,R&D,Technical Skills,2,16/02/2023,500
EMP-0197,RandD,Communication,3,2020/06/28,500.00
EMP-0197,RandD,Leadership & Management,1,22/06/2023,200
EMP-0198,RandD,Excel & Reporting,5,2022/04/22,1 000
EMP-0199,R&D,Customer Relations,5,09-25-2022,$200
EMP-0199,R&D,Excel & Reporting,2,2020/04/17,$200
EMP-0200,RandD,Security & Compliance,5,27/11/2023,1500.00
EMP-0202,R&D,Onboarding,3,2020/07/03,1500.00
EMP-0204,Sales,Excel & Reporting,2,29/09/2023,$750
EMP-0204,Sales,Excel & Reporting,1,2023/07/11,1000
EMP-0204,SALES,Excel & Reporting,3,2023/05/23,500.00
EMP-0205,sales,Leadership & Management,5,24/11/2020,200
EMP-0205,sales,Project Management,3,29/09/2021,750.00
EMP-0205,Sales,Customer Relations,1,18/03/2020,200
EMP-0207,Sales,Data Analysis,1,09-07-2023,1500.00
EMP-0207,Sales,Onboarding,5,18/05/2020,200
EMP-0207,Sales,Communication,3,28/11/2023,200
EMP-0208,r&d,Project Management,2,06-05-2023,1500
EMP-0208,R&D,HR Policies,5,14/09/2023,500
EMP-0208,R&D,HR Policies,5,21/10/2020,750.00
EMP-0211,R&D,Leadership & Management,5,2020/03/27,500.00
EMP-0211,R&D,Project Management,5,02-21-2022,750.00
EMP-0215,sales,HR Policies,5,09-19-2020,1000.00
EMP-0215,Sales,Customer Relations,2,2020/01/02,750
EMP-0215,Sales,Excel & Reporting,5,29/01/2020,1 000
EMP-0217,RandD,Data Analysis,1,2023/07/21,1000.00
EMP-0217,R&D,Customer Relations,1,2020/09/16,1000
EMP-0218,R&D,Technical Skills,1,19/01/2020,750
EMP-0221,R&D,Security & Compliance,1,2021/04/30,1 500
EMP-0223,R&D,Customer Relations,2,2021/01/21,1 000
EMP-0224,,Technical Skills,5,08/09/2022,$200
EMP-0224,RandD,Onboarding,3,30/03/2020,350.00
EMP-0224,r&d,Customer Relations,3,22/12/2021,750
EMP-0226,RandD,Security & Compliance,5,02-12-2020,1 000
EMP-0226,RandD,Onboarding,3,03-27-2020,500.00
EMP-0227,R&D,Leadership & Management,5,09-05-2020,750
EMP-0227,R&D,Technical Skills,1,07-24-2021,350.00
EMP-0230,SALES,HR Policies,1,2023/08/11,500.00
EMP-0231,r&d,Security & Compliance,1,2022/05/14,750.00
EMP-0231,RandD,Excel & Reporting,3,11/05/2023,350
EMP-0231,RandD,Technical Skills,5,2020/11/27,200.00
EMP-0233,R&D,Technical Skills,1,30/04/2021,$500
EMP-0233,r&d,Customer Relations,5,2022/02/22,500.00
EMP-0233,R&D,Leadership & Management,5,18/12/2020,$500
EMP-0238,R&D,Communication,5,10/01/2023,750
,,Technical Skills,3,2022/07/06,500.00
EMP-0241,,Communication,2,2021/12/01,500
EMP-0241,R&D,Data Analysis,2,22/01/2021,1500
EMP-0241,R&D,HR Policies,2,2022/05/21,750
EMP-0242,RandD,Project Management,1,11-09-2021,$500
EMP-0242,R&D,HR Policies,1,04-02-2020,200
EMP-0243,R&D,Technical Skills,3,01-23-2020,350
EMP-0243,R&D,Technical Skills,3,08-18-2020,$1500
EMP-0243,r&d,HR Policies,5,05-24-2020,750.00
EMP-0244,Sales,Project Management,2,2023/03/22,$750
EMP-0244,Sales,Data Analysis,5,24/11/2020,1500
EMP-0246,R&D,Project Management,5,04-20-2022,1 500
EMP-0247,RandD,Technical Skills,1,2020/02/13,350
EMP-0247,R&D,Project Management,5,14/03/2023,350
EMP-0247,R&D,Excel & Reporting,3,2020/10/30,$500
EMP-0248,Sales,Excel & Reporting,1,2023/08/26,1 500
EMP-0248,sales,Technical Skills,1,2022/03/13,200
EMP-0249,R&D,HR Policies,3,06-19-2021,$750
EMP-0250,RandD,Data Analysis,1,22/03/2020,1 000
EMP-0250,RandD,Excel & Reporting,2,12-27-2022,1500.00
EMP-0252,R&D,Excel & Reporting,5,2023/02/22,750
EMP-0252,R&D,Communication,2,06-26-2023,1500.00
EMP-0253,RandD,Project Management,2,10-24-2020,$1500
EMP-0254,RandD,Project Management,3,05/12/2021,500
EMP-0256,RandD,Onboarding,5,12-26-2020,$500
EMP-0256,R&D,Leadership & Management,3,2023/05/11,1 500
EMP-0258,RandD,Project Management,3,06-02-2021,1 000
EMP-0258,RandD,Data Analysis,3,2023/03/04,500
EMP-0259,R&D,Data Analysis,5,04/07/2023,$750
EMP-0260,RandD,Communication,2,12-30-2021,200
EMP-0260,R&D,Communication,5,06/12/2021,350
EMP-0260,,Excel & Reporting,5,2020/12/09,1500
EMP-0261,RandD,Technical Skills,5,2021/08/01,$200
EMP-0261,R&D,HR Policies,1,03-02-2022,$500
EMP-0261,R&D,Onboarding,5,03-11-2021,$1500
EMP-0262,R&D,Data Analysis,3,24/03/2021,500.00
EMP-0267,R&D,Data Analysis,1,30/05/2023,1000.00
EMP-0269,R&D,HR Policies,2,2022/03/05,1500.00
EMP-0269,RandD,Customer Relations,3,04/04/2021,750
EMP-0269,R&D,Project Management,3,13/04/2021,1 000
EMP-0270,RandD,Project Management,1,2022/09/26,1000.00
EMP-0271,RandD,Communication,2,07-15-2022,1500
EMP-0271,R&D,HR Policies,3,12-04-2020,$350
EMP-0271,RandD,Communication,2,2022/08/11,750
EMP-0273,r&d,Project Management,2,10-10-2020,500
EMP-0274,r&d,Onboarding,1,01/12/2022,1500
EMP-0274,R&D,Project Management,2,22/12/2023,1500
EMP-0275,R&D,Security & Compliance,2,01/10/2022,500
EMP-0283,Sales,Excel & Reporting,1,08/04/2022,$1000
EMP-0283,Sales,Security & Compliance,2,02-02-2021,500.00
EMP-0284,,Project Management,1,04-04-2022,1 000
EMP-0284,RandD,Technical Skills,1,12-13-2022,1 500
EMP-0286,R&D,Leadership & Management,3,03-23-2020,$750
,RandD,Technical Skills,5,19/01/2022,$750
EMP-0288,RandD,HR Policies,1,2020/12/01,1000.00
EMP-0291,Sales,Project Management,3,2023/10/02,$200
EMP-0292,R&D,Security & Compliance,5,19/10/2020,1000
EMP-0296,,Onboarding,5,07-08-2021,350
EMP-0296,R&D,Leadership & Management,5,31/03/2021,$750
EMP-0296,,Communication,2,2020/12/05,1500
EMP-0297,r&d,Excel & Reporting,3,2021/12/28,350.00
EMP-0298,sales,Customer Relations,3,12-09-2021,750.00
EMP-0298,SALES,Technical Skills,2,2022/03/16,750.00
EMP-0300,r&d,Leadership & Management,3,10-13-2020,200
EMP-0300,r&d,Communication,1,17/06/2023,500.00
EMP-0300,RandD,Technical Skills,3,10-28-2022,500
EMP-0302,Sales,Security & Compliance,1,06-06-2021,750
EMP-0303,Sales,Project Management,N/A,03-27-2020,750.00
EMP-0303,sales,Leadership & Management,1,2021/02/14,$500
EMP-0303,sales,Technical Skills,1,07-18-2023,200
EMP-0304,RandD,Technical Skills,3,2022/02/09,750
EMP-0304,R&D,Security & Compliance,5,30/09/2022,350
EMP-0305,r&d,HR Policies,3,22/09/2021,$200
EMP-0305,R&D,HR Policies,1,03/02/2022,$350
EMP-0305,r&d,Onboarding,3,2020/04/20,750
EMP-0307,,Leadership & Management,5,02-07-2021,$750
EMP-0308,r&d,Technical Skills,3,13/06/2022,500
EMP-0308,R&D,Onboarding,2,02/06/2021,$500
EMP-0308,R&D,HR Policies,2,08-01-2021,$350
EMP-0309,r&d,Project Management,2,12-23-2021,350.00
EMP-0309,r&d,Customer Relations,3,2021/08/03,350
EMP-0309,RandD,Data Analysis,2,2021/10/17,1 500
EMP-0311,Sales,Security & Compliance,3,08-06-2020,350
EMP-0312,Sales,Communication,2,28/01/2022,500.00
EMP-0314,sales,Project Management,3,26/03/2023,1500
EMP-0314,Sales,Technical Skills,1,2021/07/15,1 500
EMP-0315,R&D,Excel & Reporting,1,07-17-2020,350.00
EMP-0315,R&D,Excel & Reporting,3,12-10-2022,350
EMP-0315,r&d,Communication,2,2021/10/29,1500
EMP-0316,R&D,Excel & Reporting,1,28/06/2021,350
EMP-0319,R&D,Technical Skills,2,2020/04/14,500.00
EMP-0319,R&D,Security & Compliance,2,2023/02/17,1000
EMP-0321,hr,Customer Relations,5,15/02/2023,750
EMP-0321,HR,Leadership & Management,2,2022/03/16,750
EMP-0323,sales,Security & Compliance,2,08-22-2020,1500.00
EMP-0323,Sales,Communication,2,2021/05/17,1500
EMP-0325,RandD,HR Policies,3,2023/09/12,$350
EMP-0325,R&D,Customer Relations,3,23/02/2021,750
EMP-0325,R&D,Project Management,5,2020/04/23,350.00
EMP-0327,Sales,Customer Relations,2,20/01/2023,200.00
EMP-0327,SALES,Onboarding,2,08-13-2021,200
EMP-0327,sales,Technical Skills,3,2022/11/10,500.00
EMP-0328,RandD,Onboarding,3,12/03/2023,$500
EMP-0329,SALES,Security & Compliance,3,03-31-2023,200
EMP-0329,SALES,Security & Compliance,1,2023/08/13,$350
EMP-0330,SALES,Project Management,3,04-24-2023,500
EMP-0330,Sales,Data Analysis,3,23/12/2022,750
EMP-0331,r&d,Project Management,5,02-10-2021,1000
EMP-0333,sales,Technical Skills,5,19/08/2021,500
,,Excel & Reporting,3,10-06-2023,350
EMP-0336,R&D,Communication,3,07-10-2022,500.00
EMP-0337,r&d,Technical Skills,2,02/07/2020,$750
EMP-0338,RandD,Data Analysis,3,25/11/2021,$1000
EMP-0339,,Security & Compliance,2,2023/09/23,500.00
EMP-0340,r&d,Excel & Reporting,5,07/10/2023,1 500
EMP-0340,r&d,Customer Relations,3,04-05-2021,$500
EMP-0342,RandD,Excel & Reporting,3,12-21-2022,350.00
EMP-0342,r&d,Security & Compliance,1,23/09/2020,$1000
EMP-0342,r&d,Leadership & Management,2,01-19-2022,$1500
EMP-0346,r&d,Project Management,5,10/01/2023,$350
EMP-0346,r&d,Data Analysis,1,21/02/2020,$500
EMP-0346,R&D,Excel & Reporting,3,02/08/2023,500.00
EMP-0347,R&D,HR Policies,3,2023/10/05,750
EMP-0347,r&d,Excel & Reporting,3,16/07/2023,1000.00
EMP-0347,r&d,Data Analysis,1,01-15-2022,$1000
EMP-0349,sales,Communication,5,11-21-2022,1000.00
EMP-0350,R&D,HR Policies,2,07-13-2021,1500
EMP-0350,r&d,Security & Compliance,3,12-16-2020,$350
EMP-0351,R&D,Excel & Reporting,2,07-27-2020,350
EMP-0351,R&D,Security & Compliance,3,02/11/2020,1 500
EMP-0352,R&D,Security & Compliance,1,2020/12/05,350
EMP-0352,RandD,Project Management,1,28/11/2021,$750
EMP-0352,R&D,Customer Relations,3,06-28-2022,200
EMP-0353,r&d,Onboarding,3,02-02-2023,750.00
EMP-0353,RandD,Communication,3,10-21-2021,350
EMP-0361,SALES,HR Policies,3,09-01-2023,$1000
EMP-0362,RandD,Excel & Reporting,5,23/09/2021,750
EMP-0362,R&D,Security & Compliance,2,2020/08/09,$200
EMP-0362,r&d,Project Management,5,16/08/2023,350.00
EMP-0363,sales,Security & Compliance,3,16/07/2021,1 500
EMP-0363,SALES,Excel & Reporting,2,01/01/2022,$500
EMP-0363,SALES,Leadership & Management,3,24/07/2023,1 000
EMP-0364,RandD,Technical Skills,1,07-29-2022,1 000
EMP-0364,R&D,HR Policies,2,02-05-2022,$500
EMP-0364,r&d,Communication,3,12-29-2023,750
EMP-0366,SALES,Project Management,2,04-02-2022,500
EMP-0366,Sales,Data Analysis,2,2023/09/26,1 000
EMP-0367,R&D,Security & Compliance,5,2022/02/13,750.00
EMP-0367,RandD,Communication,3,2022/06/06,200
EMP-0367,R&D,Leadership & Management,1,2021/04/09,500
EMP-0369,r&d,Customer Relations,3,02-26-2020,$1000
EMP-0369,r&d,Technical Skills,1,2023/08/01,1000
EMP-0369,R&D,HR Policies,2,04-21-2020,1000.00
EMP-0373,RandD,Onboarding,3,2022/06/30,350.00
EMP-0373,R&D,Excel & Reporting,2,2021/11/11,350
EMP-0374,R&D,Project Management,3,17/04/2021,200
EMP-0374,r&d,Project Management,1,08/09/2020,1 000
EMP-0374,RandD,HR Policies,5,2022/12/24,500.00
EMP-0376,R&D,Technical Skills,3,08-11-2023,1500.00
EMP-0376,R&D,Excel & Reporting,2,19/10/2021,1000
EMP-0376,r&d,Leadership & Management,1,12-22-2021,1 500
EMP-0378,Sales,Excel & Reporting,2,08/10/2021,750
EMP-0378,SALES,Project Management,1,15/05/2021,$200
EMP-0379,R&D,Data Analysis,3,23/12/2022,$350
EMP-0379,R&D,Data Analysis,2,2023/10/02,$1500
EMP-0379,R&D,Excel & Reporting,2,06-03-2020,500
EMP-0380,r&d,Communication,1,2023/04/11,1000.00
EMP-0380,RandD,Onboarding,1,03-30-2021,1500
EMP-0380,R&D,Project Management,3,2021/04/24,350
EMP-0381,RandD,Project Management,3,18/10/2020,$1500
EMP-0382,Sales,Customer Relations,2,08-13-2020,1500.00
EMP-0382,SALES,Excel & Reporting,5,2020/02/18,$200
EMP-0384,RandD,HR Policies,1,01-20-2020,350.00
EMP-0387,sales,Technical Skills,1,2021/10/11,$1000
EMP-0387,SALES,Customer Relations,2,11-06-2021,$200
EMP-0388,sales,Data Analysis,1,05-13-2020,$350
EMP-0390,r&d,Technical Skills,2,2021/06/10,350
EMP-0390,R&D,Onboarding,1,11/04/2020,1000
EMP-0390,r&d,Leadership & Management,3,12-28-2020,$500
EMP-0391,RandD,Project Management,3,05-12-2021,$350
EMP-0393,R&D,Security & Compliance,5,03/03/2022,200
EMP-0393,RandD,Data Analysis,3,2023/12/10,1500.00
EMP-0394,r&d,Excel & Reporting,1,12/03/2021,350
EMP-0394,R&D,Leadership & Management,2,04-28-2023,$1000
EMP-0395,R&D,Project Management,2,2021/12/04,750.00
EMP-0396,RandD,Security & Compliance,1,06-25-2023,750
EMP-0396,R&D,HR Policies,2,2021/11/01,350.00
EMP-0397,R&D,HR Policies,2,02-12-2020,500.00
,r&d,Data Analysis,2,05/12/2021,$750
EMP-0397,R&D,Onboarding,1,10/04/2023,$200
EMP-0399,Sales,Communication,3,14/06/2023,$200
,Sales,Security & Compliance,2,10-17-2021,$500
EMP-0399,SALES,Technical Skills,2,10-11-2023,200
EMP-0401,Sales,Security & Compliance,1,04/01/2022,350
EMP-0401,sales,Security & Compliance,5,09-17-2020,750
EMP-0401,SALES,Leadership & Management,3,08/11/2022,1500
EMP-0403,R&D,Excel & Reporting,2,31/10/2023,$500
EMP-0404,Sales,Communication,3,2023/05/13,1000
EMP-0404,SALES,Excel & Reporting,1,2022/09/21,1500
EMP-0406,Sales,Security & Compliance,5,07-11-2021,750.00
EMP-0406,Sales,Excel & Reporting,2,2023/06/17,200.00
EMP-0406,SALES,Onboarding,3,2023/11/11,750.00
EMP-0407,r&d,Data Analysis,3,27/08/2022,1 000
EMP-0410,sales,Customer Relations,2,2021/04/14,750.00
EMP-0410,Sales,HR Policies,3,08/03/2023,200
EMP-0410,SALES,HR Policies,3,03-08-2022,1000
EMP-0411,SALES,HR Policies,5,07-24-2021,350
EMP-0411,SALES,Project Management,2,2020/07/18,350.00
EMP-0412,RandD,Project Management,1,2021/05/10,200
EMP-0416,Sales,HR Policies,2,2020/06/21,1500.00
EMP-0417,,Project Management,3,2021/08/16,1000.00
EMP-0417,RandD,Security & Compliance,2,07/06/2020,$1500
EMP-0417,R&D,Leadership & Management,3,04-10-2020,1000
EMP-0419,R&D,Customer Relations,5,08/10/2021,200.00
EMP-0420,sales,Data Analysis,3,2020/06/10,200.00
EMP-0424,HR,Onboarding,5,04-11-2021,500
EMP-0424,hr,Data Analysis,5,27/03/2023,1 500
EMP-0424,HR,Onboarding,2,14/03/2021,$200
EMP-0425,RandD,HR Policies,1,08-23-2022,1 000
EMP-0425,R&D,Technical Skills,2,2021/01/14,500
EMP-0425,RandD,Technical Skills,3,14/05/2021,$750
EMP-0429,R&D,Excel & Reporting,5,2022/12/12,200
EMP-0429,R&D,Communication,5,05/02/2020,1 500
EMP-0429,RandD,Onboarding,5,2021/10/17,$750
EMP-0430,r&d,Communication,5,06-09-2022,750.00
EMP-0430,R&D,Data Analysis,5,06-12-2022,750
EMP-0430,r&d,Onboarding,2,03-16-2021,350
EMP-0431,R&D,Onboarding,2,2020/04/12,1000
EMP-0431,RandD,Security & Compliance,2,09-01-2020,350
EMP-0436,SALES,Data Analysis,2,17/10/2023,500
EMP-0436,Sales,Excel & Reporting,3,2022/07/17,$1500
EMP-0436,Sales,Technical Skills,5,17/01/2023,1 000
EMP-0437,sales,Communication,1,15/02/2023,1 500
EMP-0437,SALES,Data Analysis,1,21/05/2023,$1500
EMP-0438,Sales,Excel & Reporting,5,01-15-2021,500
EMP-0438,sales,Leadership & Management,3,2023/02/20,$500
