EmployeeID,ChangeDate,FromJobTitle,ToJobTitle,SalaryBefore,SalaryAfter,ChangeType,DepartmentCode,Site
200014,14/02/2016,Research Scientist,Software Engineer,113280,114458,Lateral_Move,RD,Paris
200014,15/01/2018,Software Engineer,R&D Manager,114458,117671,Promotion,RD,Paris
200014,26/09/2020,R&D Manager,Software Engineer,117671,118202,Lateral_Move,RD,Paris
200015,30/07/2012,,Software Engineer,,94000,Hire,RD,Paris
200015,21/05/2014,Software Engineer,Data Scientist,94000,102895,Promotion,RD,Paris
200015,21/04/2016,Data Scientist,ML Engineer,102895,107269,Promotion,RD,Paris
200015,09/06/2018,ML Engineer,Software Engineer,107269,108644,Lateral_Move,RD,Paris
200016,27/04/2015,,Data Scientist,,66000,Hire,RD,Paris
200016,25/07/2016,Data Scientist,Research Scientist,66000,78500,Promotion,RD,Paris
200016,07/02/2018,Research Scientist,Senior Engineer,78500,91752,Promotion,RD,Paris
200017,21/02/2013,,R&D Manager,,74880,Hire,RD,Paris
200017,31/03/2014,R&D Manager,Data Scientist,74880,77435,Lateral_Move,RD,Paris
200017,07/09/2015,Data Scientist,ML Engineer,77435,86609,Promotion,RD,Paris
200018,27/09/2014,,Research Scientist,,87220,Hire,RD,Paris
200018,29/02/2016,Research Scientist,ML Engineer,87220,92498,Promotion,RD,Paris
200018,13/06/2017,ML Engineer,Software Engineer,92498,94171,Lateral_Move,RD,Paris
200018,19/06/2019,Software Engineer,Data Scientist,94171,95488,Lateral_Move,RD,Paris
200019,29/05/2013,,Research Scientist,,126720,Hire,RD,Paris
200019,25/12/2014,Research Scientist,Software Engineer,126720,128154,Lateral_Move,RD,Paris
200019,16/08/2016,Software Engineer,R&D Manager,128154,130312,Lateral_Move,RD,Paris
200020,29/07/2013,,Research Scientist,,126720,Hire,RD,Paris
200020,30/04/2015,Research Scientist,Senior Engineer,126720,131897,Promotion,RD,Paris
200020,13/04/2018,Senior Engineer,ML Engineer,131897,127019,Demotion,RD,Paris
200020,20/05/2019,ML Engineer,Lead Engineer,127019,140000,Promotion,RD,Paris
200021,06/06/2013,,Software Engineer,,99840,Hire,RD,Paris
200021,11/11/2015,Software Engineer,Research Scientist,99840,102460,Lateral_Move,RD,Paris
200021,10/07/2017,Research Scientist,Senior Engineer,102460,102871,Lateral_Move,RD,Paris
200021,22/04/2020,Senior Engineer,Lead Engineer,102871,104913,Lateral_Move,RD,Paris
200022,24/10/2012,,Data Scientist,,86480,Hire,RD,Paris
200022,18/01/2014,Data Scientist,Senior Engineer,86480,86739,Lateral_Move,RD,Paris
200022,21/01/2016,Senior Engineer,Data Scientist,86739,86639,Lateral_Move,RD,Paris
200022,21/11/2017,Data Scientist,Senior Engineer,86639,101065,Promotion,RD,Paris
200023,24/05/2015,,Senior Engineer,,140000,Hire,RD,Paris
200023,17/03/2017,Senior Engineer,ML Engineer,140000,140000,Promotion,RD,Paris
200023,03/09/2019,ML Engineer,Senior Engineer,140000,140000,Promotion,RD,Paris
200023,22/09/2020,Senior Engineer,Data Scientist,140000,142349,Lateral_Move,RD,Paris
200024,08/07/2013,,ML Engineer,,133440,Hire,RD,Paris
200024,20/06/2015,ML Engineer,R&D Manager,133440,140000,Promotion,RD,Paris
200024,02/01/2018,R&D Manager,ML Engineer,140000,141682,Lateral_Move,RD,Paris
200024,14/06/2019,ML Engineer,Data Scientist,141682,142257,Lateral_Move,RD,Paris
200025,07/09/2013,,Senior Engineer,,62400,Hire,RD,Paris
200025,21/11/2014,Senior Engineer,R&D Manager,62400,61969,Lateral_Move,RD,Paris
200025,30/03/2017,R&D Manager,ML Engineer,61969,62551,Lateral_Move,RD,Paris
200025,18/06/2018,ML Engineer,Software Engineer,62551,65000,Demotion,RD,Paris
200026,11/10/2014,,Research Scientist,,117600,Hire,RD,Paris
200026,12/08/2016,Research Scientist,Data Scientist,117600,121901,Promotion,RD,Paris
200026,07/11/2017,Data Scientist,Senior Engineer,121901,122408,Lateral_Move,RD,Paris
200026,18/08/2019,Senior Engineer,ML Engineer,122408,123468,Lateral_Move,RD,Paris
200027,16/09/2012,,Data Scientist,,91180,Hire,RD,Paris
200027,19/01/2014,Data Scientist,ML Engineer,91180,93071,Lateral_Move,RD,Paris
200027,17/09/2015,ML Engineer,Senior Engineer,93071,102451,Promotion,RD,Paris
200027,09/12/2016,Senior Engineer,ML Engineer,102451,112828,Promotion,RD,Paris
200028,28/06/2012,,R&D Manager,,122200,Hire,RD,Paris
200028,05/09/2014,R&D Manager,Research Scientist,122200,125852,Promotion,RD,Paris
200028,27/10/2016,Research Scientist,Lead Engineer,125852,126233,Lateral_Move,RD,Paris
200028,10/01/2019,Lead Engineer,Research Scientist,126233,127531,Lateral_Move,RD,Paris
200029,21/02/2013,,Data Scientist,,101760,Hire,RD,Paris
200029,12/01/2016,Data Scientist,Senior Engineer,101760,102561,Lateral_Move,RD,Paris
200029,02/09/2017,Senior Engineer,ML Engineer,102561,104373,Lateral_Move,RD,Paris
200029,02/04/2019,ML Engineer,Data Scientist,104373,107340,Lateral_Move,RD,Paris
200030,12/06/2014,,Research Scientist,,88200,Hire,RD,Paris
200030,19/09/2015,Research Scientist,Software Engineer,88200,92672,Promotion,RD,Paris
200031,11/06/2015,,Senior Engineer,,107000,Hire,RD,Paris
200031,21/06/2016,Senior Engineer,Research Scientist,107000,119607,Promotion,RD,Paris
200031,09/09/2017,Research Scientist,Software Engineer,119607,120656,Lateral_Move,RD,Paris
200032,27/10/2014,,Senior Engineer,,95060,Hire,RD,Paris
200032,10/06/2016,Senior Engineer,Research Scientist,95060,103853,Promotion,RD,Paris
200032,02/05/2018,Research Scientist,Senior Engineer,103853,106179,Lateral_Move,RD,Paris
200032,09/10/2019,Senior Engineer,Research Scientist,106179,107505,Lateral_Move,RD,Paris
200033,07/12/2013,,ML Engineer,,117120,Hire,RD,Paris
200033,06/03/2015,ML Engineer,Research Scientist,117120,117342,Lateral_Move,RD,Paris
200033,23/02/2017,Research Scientist,Lead Engineer,117342,120274,Lateral_Move,RD,Paris
200034,11/07/2012,,Lead Engineer,,95880,Hire,RD,Paris
200034,10/05/2014,Lead Engineer,ML Engineer,95880,95688,Lateral_Move,RD,Paris
200035,07/04/2015,,Research Scientist,,119000,Hire,RD,Paris
200035,02/10/2016,Research Scientist,Senior Engineer,119000,120757,Lateral_Move,RD,Paris
200035,29/05/2019,Senior Engineer,ML Engineer,120757,121447,Lateral_Move,RD,Paris
200035,19/06/2020,ML Engineer,Research Scientist,121447,123230,Lateral_Move,RD,Paris
200036,28/07/2012,,Senior Engineer,,103400,Hire,RD,Paris
200036,30/08/2014,Senior Engineer,Data Scientist,103400,103411,Lateral_Move,RD,Paris
200036,08/07/2016,Data Scientist,Software Engineer,103411,107747,Promotion,RD,Paris
200036,04/06/2018,Software Engineer,ML Engineer,107747,109045,Lateral_Move,RD,Paris
200037,01/03/2014,,Lead Engineer,,96040,Hire,RD,Paris
200037,13/03/2015,Lead Engineer,Senior Engineer,96040,102851,Promotion,RD,Paris
200038,17/06/2014,,Lead Engineer,,65660,Hire,RD,Paris
200038,01/09/2015,Lead Engineer,Senior Engineer,65660,65974,Lateral_Move,RD,Paris
200038,23/04/2017,Senior Engineer,R&D Manager,65974,68885,Lateral_Move,RD,Paris
200038,05/02/2019,R&D Manager,Software Engineer,68885,70711,Lateral_Move,RD,Paris
200039,28/06/2013,,Senior Engineer,,105600,Hire,RD,Paris
200039,04/08/2014,Senior Engineer,Research Scientist,105600,119522,Promotion,RD,Paris
200039,23/11/2015,Research Scientist,Data Scientist,119522,118146,Demotion,RD,Paris
200039,17/07/2018,Data Scientist,R&D Manager,118146,125476,Promotion,RD,Paris
200040,04/12/2012,,ML Engineer,,103400,Hire,RD,Paris
200040,01/12/2014,ML Engineer,Lead Engineer,103400,109191,Promotion,RD,Paris
200040,24/07/2016,Lead Engineer,Software Engineer,109191,113938,Promotion,RD,Paris
200041,08/06/2013,,ML Engineer,,65280,Hire,RD,Paris
200041,12/09/2015,ML Engineer,Software Engineer,65280,75132,Promotion,RD,Paris
200041,17/07/2017,Software Engineer,Research Scientist,75132,76226,Lateral_Move,RD,Paris
200041,12/10/2018,Research Scientist,ML Engineer,76226,78214,Lateral_Move,RD,Paris
200042,03/06/2014,,Software Engineer,,67620,Hire,RD,Paris
200042,17/05/2016,Software Engineer,Research Scientist,67620,71464,Promotion,RD,Paris
200042,24/10/2018,Research Scientist,Data Scientist,71464,83117,Promotion,RD,Paris
200042,13/05/2021,Data Scientist,ML Engineer,83117,86105,Lateral_Move,RD,Paris
200043,05/06/2015,,Data Scientist,,110000,Hire,RD,Paris
200043,27/11/2016,Data Scientist,Senior Engineer,110000,111719,Lateral_Move,RD,Paris
200044,06/06/2012,,ML Engineer,,64859,Hire,RD,Paris
200044,31/10/2013,ML Engineer,Research Scientist,64859,65000,Demotion,RD,Paris
200045,03/12/2012,,ML Engineer,,94000,Hire,RD,Paris
200045,28/02/2014,ML Engineer,R&D Manager,94000,89976,Demotion,RD,Paris
200046,21/01/2015,,Senior Engineer,,122000,Hire,RD,Paris
200046,20/10/2016,Senior Engineer,Research Scientist,122000,118793,Demotion,RD,Paris
200046,15/03/2018,Research Scientist,ML Engineer,118793,120641,Lateral_Move,RD,Paris
200047,22/08/2012,,Senior Engineer,,109980,Hire,RD,Paris
200047,23/08/2015,Senior Engineer,Data Scientist,109980,120521,Promotion,RD,Paris
200047,22/08/2017,Data Scientist,Research Scientist,120521,115920,Demotion,RD,Paris
200047,07/09/2020,Research Scientist,Senior Engineer,115920,113249,Demotion,RD,Paris
200048,07/09/2012,,R&D Manager,,98700,Hire,RD,Paris
200048,22/01/2015,R&D Manager,Lead Engineer,98700,99884,Lateral_Move,RD,Paris
200048,10/07/2016,Lead Engineer,R&D Manager,99884,109819,Promotion,RD,Paris
200048,05/04/2018,R&D Manager,Software Engineer,109819,112235,Lateral_Move,RD,Paris
200049,18/01/2014,,Senior Engineer,,68600,Hire,RD,Paris
200049,21/09/2015,Senior Engineer,Software Engineer,68600,68748,Lateral_Move,RD,Paris
200049,23/05/2017,Software Engineer,Research Scientist,68748,68785,Lateral_Move,RD,Paris
200049,01/03/2020,Research Scientist,Software Engineer,68785,69317,Lateral_Move,RD,Paris
200050,14/05/2015,,R&D Manager,,91000,Hire,RD,Paris
200050,15/07/2016,R&D Manager,Senior Engineer,91000,96518,Promotion,RD,Paris
200050,18/07/2017,Senior Engineer,Data Scientist,96518,98071,Lateral_Move,RD,Paris
200050,03/08/2018,Data Scientist,Software Engineer,98071,100533,Lateral_Move,RD,Paris
200051,12/04/2013,,Software Engineer,,99840,Hire,RD,Paris
200051,11/12/2014,Software Engineer,Research Scientist,99840,107975,Promotion,RD,Paris
200052,14/11/2013,,Senior Engineer,,111360,Hire,RD,Paris
200053,02/03/2012,,Software Engineer,,119380,Hire,RD,Paris
200053,13/10/2013,Software Engineer,Lead Engineer,119380,125709,Promotion,RD,Paris
200053,07/01/2017,Lead Engineer,Software Engineer,125709,135494,Promotion,RD,Paris
200053,27/10/2018,Software Engineer,Data Scientist,135494,133974,Demotion,RD,Paris
200054,27/07/2013,,Software Engineer,,73920,Hire,RD,Paris
200054,04/09/2014,Software Engineer,Research Scientist,73920,86480,Promotion,RD,Paris
200055,04/10/2012,,Lead Engineer,,73320,Hire,RD,Paris
200055,07/03/2014,Lead Engineer,Data Scientist,73320,80167,Promotion,RD,Paris
200055,28/03/2016,Data Scientist,Senior Engineer,80167,82669,Lateral_Move,RD,Paris
200055,31/07/2018,Senior Engineer,Software Engineer,82669,79616,Demotion,RD,Paris
200056,30/08/2013,,Lead Engineer,,125760,Hire,RD,Paris
200056,16/06/2015,Lead Engineer,Software Engineer,125760,139010,Promotion,RD,Paris
200057,24/06/2014,,Research Scientist,,85260,Hire,RD,Paris
200057,23/03/2016,Research Scientist,Senior Engineer,85260,80908,Demotion,RD,Paris
200057,31/10/2018,Senior Engineer,Data Scientist,80908,95264,Promotion,RD,Paris
200057,27/12/2020,Data Scientist,Senior Engineer,95264,95284,Lateral_Move,RD,Paris
200058,17/09/2014,,ML Engineer,,67620,Hire,RD,Paris
200058,23/02/2016,ML Engineer,Lead Engineer,67620,82200,Promotion,RD,Paris
200058,12/07/2017,Lead Engineer,Senior Engineer,82200,91073,Promotion,RD,Paris
200059,11/06/2014,,Software Engineer,,79380,Hire,RD,Paris
200059,26/02/2016,Software Engineer,Senior Engineer,79380,79303,Lateral_Move,RD,Paris
200059,06/12/2017,Senior Engineer,Software Engineer,79303,79025,Lateral_Move,RD,Paris
200060,26/11/2013,,Software Engineer,,92160,Hire,RD,Paris
200060,22/01/2015,Software Engineer,Research Scientist,92160,97916,Promotion,RD,Paris
200060,22/07/2016,Research Scientist,R&D Manager,97916,105747,Promotion,RD,Paris
200061,19/09/2012,,Software Engineer,,130659,Hire,RD,Paris
200061,12/03/2014,Software Engineer,Research Scientist,130659,132871,Lateral_Move,RD,Paris
200061,18/02/2016,Research Scientist,Senior Engineer,132871,137836,Promotion,RD,Paris
200062,09/07/2014,,Software Engineer,,129360,Hire,RD,Paris
200062,19/07/2015,Software Engineer,Lead Engineer,129360,131109,Lateral_Move,RD,Paris
200063,21/11/2013,,Software Engineer,,111360,Hire,RD,Paris
200063,22/12/2014,Software Engineer,Data Scientist,111360,114339,Lateral_Move,RD,Paris
200064,13/02/2013,,Data Scientist,,114240,Hire,RD,Paris
200064,18/03/2014,Data Scientist,Senior Engineer,114240,127625,Promotion,RD,Paris
200064,26/02/2016,Senior Engineer,R&D Manager,127625,139545,Promotion,RD,Paris
200064,01/08/2018,R&D Manager,Lead Engineer,139545,141448,Lateral_Move,RD,Paris
200065,16/04/2015,,Senior Engineer,,138000,Hire,RD,Paris
200065,17/04/2016,Senior Engineer,Software Engineer,138000,138217,Lateral_Move,RD,Paris
200065,13/07/2017,Software Engineer,Data Scientist,138217,140000,Promotion,RD,Paris
200066,10/09/2013,,Research Scientist,,127680,Hire,RD,Paris
200066,26/03/2015,Research Scientist,Senior Engineer,127680,125143,Demotion,RD,Paris
200067,03/07/2013,,Software Engineer,,90240,Hire,RD,Paris
200067,26/08/2015,Software Engineer,Data Scientist,90240,98719,Promotion,RD,Paris
200067,03/10/2017,Data Scientist,Lead Engineer,98719,98613,Lateral_Move,RD,Paris
200068,18/04/2014,,Lead Engineer,,68600,Hire,RD,Paris
200069,26/04/2012,,Senior Engineer,,95880,Hire,RD,Paris
200069,17/12/2013,Senior Engineer,Software Engineer,95880,96712,Lateral_Move,RD,Paris
200069,02/03/2016,Software Engineer,Senior Engineer,96712,102142,Promotion,RD,Paris
200069,26/06/2017,Senior Engineer,ML Engineer,102142,116988,Promotion,RD,Paris
200070,02/06/2014,,Lead Engineer,,116620,Hire,RD,Paris
200070,29/07/2015,Lead Engineer,ML Engineer,116620,118216,Lateral_Move,RD,Paris
200070,08/10/2016,ML Engineer,Data Scientist,118216,121433,Promotion,RD,Paris
200071,28/02/2012,,ML Engineer,,70500,Hire,RD,Paris
200071,06/11/2013,ML Engineer,Senior Engineer,70500,81066,Promotion,RD,Paris
200071,16/07/2015,Senior Engineer,Software Engineer,81066,94959,Promotion,RD,Paris
200071,22/09/2018,Software Engineer,R&D Manager,94959,96649,Lateral_Move,RD,Paris
200072,09/02/2012,,ML Engineer,,101520,Hire,RD,Paris
200072,06/07/2014,ML Engineer,R&D Manager,101520,111923,Promotion,RD,Paris
200073,05/05/2012,,Software Engineer,,127840,Hire,RD,Paris
200073,29/03/2014,Software Engineer,ML Engineer,127840,128227,Lateral_Move,RD,Paris
200073,30/04/2017,ML Engineer,Data Scientist,128227,123314,Demotion,RD,Paris
200073,15/09/2019,Data Scientist,ML Engineer,123314,125542,Lateral_Move,RD,Paris
200074,12/03/2014,,Software Engineer,,113680,Hire,RD,Paris
200074,29/02/2016,Software Engineer,Senior Engineer,113680,114326,Lateral_Move,RD,Paris
200074,23/07/2018,Senior Engineer,R&D Manager,114326,121433,Promotion,RD,Paris
200074,21/08/2019,R&D Manager,Software Engineer,121433,125509,Promotion,RD,Paris
200075,27/03/2012,,ML Engineer,,62040,Hire,RD,Paris
200075,20/09/2014,ML Engineer,Software Engineer,62040,65000,Demotion,RD,Paris
200075,12/08/2017,Software Engineer,Research Scientist,65000,69243,Promotion,RD,Paris
200075,10/12/2018,Research Scientist,Data Scientist,69243,72058,Lateral_Move,RD,Paris
200076,20/11/2014,,ML Engineer,,137200,Hire,RD,Paris
200076,28/03/2016,ML Engineer,Software Engineer,137200,139148,Lateral_Move,RD,Paris
200076,07/11/2017,Software Engineer,Data Scientist,139148,139151,Lateral_Move,RD,Paris
200076,10/07/2020,Data Scientist,Software Engineer,139151,140000,Promotion,RD,Paris
200077,28/03/2015,,R&D Manager,,71000,Hire,RD,Paris
200077,02/10/2016,R&D Manager,Lead Engineer,71000,74914,Promotion,RD,Paris
200077,07/03/2019,Lead Engineer,Research Scientist,74914,74497,Lateral_Move,RD,Paris
200077,14/04/2021,Research Scientist,Software Engineer,74497,76822,Lateral_Move,RD,Paris
200078,26/08/2013,,Senior Engineer,,119040,Hire,RD,Paris
200078,30/04/2015,Senior Engineer,Software Engineer,119040,132090,Promotion,RD,Paris
200078,25/11/2016,Software Engineer,Senior Engineer,132090,134985,Lateral_Move,RD,Paris
200078,27/12/2017,Senior Engineer,Data Scientist,134985,140000,Promotion,RD,Paris
200079,02/02/2015,,Research Scientist,,85000,Hire,RD,Paris
200079,12/05/2016,Research Scientist,Software Engineer,85000,85473,Lateral_Move,RD,Paris
200080,05/04/2014,,Data Scientist,,75460,Hire,RD,Paris
200080,15/05/2016,Data Scientist,R&D Manager,75460,76639,Lateral_Move,RD,Paris
200080,17/10/2017,R&D Manager,Lead Engineer,76639,90434,Promotion,RD,Paris
200081,28/04/2015,,R&D Manager,,140000,Hire,RD,Paris
200081,27/03/2017,R&D Manager,Research Scientist,140000,142449,Lateral_Move,RD,Paris
200082,05/09/2012,,R&D Manager,,102460,Hire,RD,Paris
200082,05/11/2013,R&D Manager,Data Scientist,102460,115269,Promotion,RD,Paris
200083,11/02/2012,,R&D Manager,,119380,Hire,RD,Paris
200083,06/08/2013,R&D Manager,Lead Engineer,119380,119643,Lateral_Move,RD,Paris
200083,27/04/2015,Lead Engineer,Research Scientist,119643,124902,Promotion,RD,Paris
200084,23/08/2014,,ML Engineer,,123480,Hire,RD,Paris
200084,07/09/2015,ML Engineer,Research Scientist,123480,124417,Lateral_Move,RD,Paris
200084,22/03/2017,Research Scientist,ML Engineer,124417,127367,Lateral_Move,RD,Paris
200085,12/03/2015,,R&D Manager,,111000,Hire,RD,Paris
200086,20/01/2012,,Lead Engineer,,74260,Hire,RD,Paris
200086,12/09/2013,Lead Engineer,ML Engineer,74260,71062,Demotion,RD,Paris
200087,30/05/2013,,R&D Manager,,75840,Hire,RD,Paris
200087,12/04/2016,R&D Manager,ML Engineer,75840,78279,Lateral_Move,RD,Paris
200087,05/10/2018,ML Engineer,R&D Manager,78279,79723,Lateral_Move,RD,Paris
200087,26/06/2020,R&D Manager,Software Engineer,79723,80863,Lateral_Move,RD,Paris
200088,21/06/2014,,R&D Manager,,100940,Hire,RD,Paris
200089,21/04/2014,,R&D Manager,,93100,Hire,RD,Paris
200089,05/05/2015,R&D Manager,Data Scientist,93100,104585,Promotion,RD,Paris
200089,03/02/2017,Data Scientist,Lead Engineer,104585,108052,Promotion,RD,Paris
200089,21/12/2018,Lead Engineer,Research Scientist,108052,109908,Lateral_Move,RD,Paris
200090,11/10/2013,,Data Scientist,,80640,Hire,RD,Paris
200090,27/04/2015,Data Scientist,ML Engineer,80640,90313,Promotion,RD,Paris
200090,30/09/2017,ML Engineer,Software Engineer,90313,100515,Promotion,RD,Paris
200091,19/10/2014,,Lead Engineer,,83300,Hire,RD,Paris
200091,05/07/2016,Lead Engineer,Senior Engineer,83300,86987,Promotion,RD,Paris
200091,23/12/2017,Senior Engineer,Research Scientist,86987,88306,Lateral_Move,RD,Paris
200091,05/07/2020,Research Scientist,Data Scientist,88306,89075,Lateral_Move,RD,Paris
200092,19/05/2015,,ML Engineer,,112000,Hire,RD,Paris
200092,13/06/2016,ML Engineer,Senior Engineer,112000,110579,Demotion,RD,Paris
200093,20/04/2015,,Research Scientist,,69000,Hire,RD,Paris
200094,27/01/2013,,Software Engineer,,69120,Hire,RD,Paris
200094,23/08/2015,Software Engineer,Research Scientist,69120,66034,Demotion,RD,Paris
200094,22/12/2017,Research Scientist,Senior Engineer,66034,69030,Lateral_Move,RD,Paris
200094,31/08/2019,Senior Engineer,Data Scientist,69030,71402,Lateral_Move,RD,Paris
200095,03/04/2012,,R&D Manager,,66740,Hire,RD,Paris
200095,11/05/2013,R&D Manager,Software Engineer,66740,65000,Demotion,RD,Paris
200095,16/07/2014,Software Engineer,Data Scientist,65000,65923,Lateral_Move,RD,Paris
200096,04/09/2013,,ML Engineer,,70080,Hire,RD,Paris
200096,19/02/2015,ML Engineer,R&D Manager,70080,70283,Lateral_Move,RD,Paris
200097,20/02/2015,,Senior Engineer,,130000,Hire,RD,Paris
200097,13/05/2016,Senior Engineer,R&D Manager,130000,128316,Demotion,RD,Paris
200097,21/01/2018,R&D Manager,ML Engineer,128316,128486,Lateral_Move,RD,Paris
200098,16/09/2014,,Lead Engineer,,122500,Hire,RD,Paris
200099,29/09/2012,,Data Scientist,,113740,Hire,RD,Paris
200099,22/10/2014,Data Scientist,Senior Engineer,113740,127421,Promotion,RD,Paris
200099,01/08/2016,Senior Engineer,ML Engineer,127421,124572,Demotion,RD,Paris
200099,30/04/2018,ML Engineer,R&D Manager,124572,138541,Promotion,RD,Paris
200100,10/12/2014,,Data Scientist,,101920,Hire,RD,Paris
200100,24/01/2016,Data Scientist,Research Scientist,101920,115634,Promotion,RD,Paris
200101,27/08/2014,,Data Scientist,,85260,Hire,RD,Paris
200102,17/02/2012,,R&D Manager,,108100,Hire,RD,Paris
200102,11/05/2014,R&D Manager,Lead Engineer,108100,113611,Promotion,RD,Paris
200102,02/12/2016,Lead Engineer,R&D Manager,113611,119066,Promotion,RD,Paris
200102,01/05/2019,R&D Manager,Research Scientist,119066,121927,Lateral_Move,RD,Paris
200103,26/02/2015,,Senior Engineer,,85000,Hire,RD,Paris
200103,19/12/2016,Senior Engineer,Lead Engineer,85000,85163,Lateral_Move,RD,Paris
200103,07/09/2018,Lead Engineer,Senior Engineer,85163,95856,Promotion,RD,Paris
200104,09/02/2012,,Lead Engineer,,111860,Hire,RD,Paris
200104,23/02/2015,Lead Engineer,Research Scientist,111860,112199,Lateral_Move,RD,Paris
200104,12/09/2016,Research Scientist,Lead Engineer,112199,114592,Lateral_Move,RD,Paris
200104,07/09/2019,Lead Engineer,R&D Manager,114592,114268,Lateral_Move,RD,Paris
200105,01/05/2015,,Software Engineer,,65000,Hire,RD,Paris
200106,02/04/2015,,Research Scientist,,135000,Hire,RD,Paris
200106,26/06/2016,Research Scientist,Software Engineer,135000,135712,Lateral_Move,RD,Paris
200107,13/06/2013,,Research Scientist,,114240,Hire,RD,Paris
200107,01/03/2015,Research Scientist,Lead Engineer,114240,116631,Lateral_Move,RD,Paris
200107,04/03/2016,Lead Engineer,Senior Engineer,116631,126407,Promotion,RD,Paris
200108,28/04/2014,,Senior Engineer,,116620,Hire,RD,Paris
200108,08/08/2015,Senior Engineer,Data Scientist,116620,112283,Demotion,RD,Paris
200108,25/01/2018,Data Scientist,ML Engineer,112283,113172,Lateral_Move,RD,Paris
200108,03/08/2019,ML Engineer,Lead Engineer,113172,122843,Promotion,RD,Paris
200109,06/04/2012,,ML Engineer,,125960,Hire,RD,Paris
200109,31/12/2013,ML Engineer,Lead Engineer,125960,127618,Lateral_Move,RD,Paris
200109,17/03/2017,Lead Engineer,R&D Manager,127618,139532,Promotion,RD,Paris
200109,09/11/2018,R&D Manager,Data Scientist,139532,140000,Promotion,RD,Paris
200110,27/05/2015,,Lead Engineer,,114000,Hire,RD,Paris
