employee_id,employee_department,training_name,training_duration_days,training_cost_eur,start_date,completion_date,completion_status,site
EMP_200011,R&D,Cloud Architecture AWS,4,2513,2017-02-26,,Cancelled,Paris
EMP_200011,R&D,Data Engineering,5,2607,2018-05-10,2018-05-18,Completed,Paris
EMP_200011,R&D,Python Advanced,6,2223,2019-11-22,2019-12-03,Completed,Paris
EMP_200011,R&D,Python Advanced,6,2355,2022-07-15,,InProgress,Paris
EMP_200011,R&D,Machine Learning,5,2677,2023-05-12,2023-05-21,Completed,Paris
EMP_200011,R&D,Deep Learning,7,3008,2025-08-24,2025-09-01,Completed,Paris
EMP_200012,R&D,Machine Learning,5,2556,2015-03-12,2015-03-17,Completed,Paris
EMP_200012,R&D,Machine Learning,5,2408,2017-05-04,2017-05-13,Completed,Paris
EMP_200013,R&D,Python Advanced,6,2160,2016-03-07,,InProgress,Paris
EMP_200013,R&D,Deep Learning,7,3012,2018-06-26,2018-07-07,Completed,Paris
EMP_200013,R&D,Data Engineering,5,2371,2019-07-09,2019-07-17,Completed,Paris
EMP_200013,R&D,Deep Learning,7,3009,2024-12-23,,InProgress,Paris
EMP_200013,R&D,Deep Learning,7,3143,2025-05-03,2025-05-13,Completed,Paris
EMP_200014,R&D,Python Advanced,6,2264,2017-04-23,2017-04-30,Completed,Paris
EMP_200014,R&D,Data Engineering,5,2282,2023-05-09,2023-05-16,Completed,Paris
EMP_200015,R&D,Data Engineering,5,2057,2016-02-23,2016-03-03,Completed,Paris
EMP_200015,R&D,Python Advanced,6,2298,2017-04-30,2017-05-07,Completed,Paris
EMP_200015,R&D,Cloud Architecture AWS,4,2237,2018-11-19,2018-11-24,Completed,Paris
EMP_200015,R&D,Data Engineering,5,2071,2019-03-19,2019-03-28,Completed,Paris
EMP_200016,R&D,Deep Learning,7,3161,2016-01-25,2016-02-05,Completed,Paris
EMP_200017,R&D,Deep Learning,7,2946,2016-12-06,,Cancelled,Paris
EMP_200018,R&D,Machine Learning,5,2411,2017-02-26,,InProgress,Paris
EMP_200018,R&D,Machine Learning,5,2464,2025-01-26,,Cancelled,Paris
EMP_200020,R&D,Data Engineering,5,2637,2016-05-24,2016-06-02,Completed,Paris
EMP_200020,R&D,Data Engineering,5,2517,2018-04-16,2018-04-24,Completed,Paris
EMP_200021,R&D,Cloud Architecture AWS,4,2711,2015-09-03,2015-09-11,Completed,Paris
EMP_200021,R&D,Deep Learning,7,2788,2018-05-05,2018-05-16,Completed,Paris
EMP_200021,R&D,Cloud Architecture AWS,4,2455,2019-04-08,2019-04-13,Completed,Paris
EMP_200021,R&D,Cloud Architecture AWS,4,2162,2021-07-07,,InProgress,Paris
EMP_200021,R&D,Machine Learning,5,3026,2023-12-08,2023-12-18,Completed,Paris
EMP_200022,R&D,Cloud Architecture AWS,4,2423,2021-07-19,,Cancelled,Paris
EMP_200022,R&D,Cloud Architecture AWS,4,2133,2022-04-10,2022-04-16,Completed,Paris
EMP_200023,R&D,Data Engineering,5,2563,2016-05-09,,InProgress,Paris
EMP_200023,R&D,Data Engineering,5,2139,2017-05-19,2017-05-28,Completed,Paris
EMP_200023,R&D,Agile Scrum,2,854,2019-09-15,2019-09-19,Completed,Paris
EMP_200023,R&D,Data Engineering,5,2412,2020-03-08,2020-03-18,Completed,Paris
EMP_200023,R&D,Agile Scrum,2,884,2021-01-22,,Cancelled,Paris
EMP_200023,R&D,Machine Learning,5,3153,2025-04-14,,Cancelled,Paris
EMP_200024,R&D,Deep Learning,7,2934,2015-02-14,2015-02-24,Completed,Paris
EMP_200024,R&D,Deep Learning,7,2794,2018-03-04,2018-03-11,Completed,Paris
EMP_200024,R&D,Agile Scrum,2,744,2022-10-26,2022-10-29,Completed,Paris
EMP_200025,R&D,Data Engineering,5,2244,2017-10-31,2017-11-05,Completed,Paris
EMP_200025,R&D,Machine Learning,5,2648,2019-03-26,2019-04-05,Completed,Paris
EMP_200026,R&D,Data Engineering,5,2424,2017-12-19,2017-12-24,Completed,Paris
EMP_200026,R&D,Data Engineering,5,2169,2018-10-28,2018-11-06,Completed,Paris
EMP_200026,R&D,Python Advanced,6,2412,2019-04-16,,InProgress,Paris
EMP_200026,R&D,Python Advanced,6,2197,2021-05-22,2021-05-30,Completed,Paris
EMP_200026,R&D,Cloud Architecture AWS,4,2855,2023-01-10,2023-01-18,Completed,Paris
EMP_200027,R&D,Agile Scrum,2,887,2018-04-15,2018-04-20,Completed,Paris
EMP_200027,R&D,Agile Scrum,2,840,2019-10-31,2019-11-04,Completed,Paris
EMP_200027,R&D,Deep Learning,7,2857,2021-02-05,2021-02-14,Completed,Paris
EMP_200028,R&D,Machine Learning,5,3042,2015-02-11,2015-02-19,Completed,Paris
EMP_200028,R&D,Cloud Architecture AWS,4,2567,2016-09-23,2016-09-27,Completed,Paris
EMP_200028,R&D,Agile Scrum,2,740,2018-07-26,2018-08-01,Completed,Paris
EMP_200028,R&D,Data Engineering,5,2460,2022-06-11,,InProgress,Paris
EMP_200028,R&D,Python Advanced,6,2176,2024-12-14,,InProgress,Paris
EMP_200029,R&D,Python Advanced,6,2195,2015-03-04,,Cancelled,Paris
EMP_200029,R&D,Cloud Architecture AWS,4,2232,2017-07-08,2017-07-13,Completed,Paris
EMP_200029,R&D,Agile Scrum,2,763,2018-10-10,2018-10-16,Completed,Paris
EMP_200029,R&D,Python Advanced,6,2415,2023-08-07,2023-08-13,Completed,Paris
EMP_200030,R&D,Python Advanced,6,2307,2018-08-31,2018-09-09,Completed,Paris
EMP_200032,R&D,Python Advanced,6,1916,2019-07-02,2019-07-13,Completed,Paris
EMP_200033,R&D,Agile Scrum,2,899,2020-01-12,2020-01-19,Completed,Paris
EMP_200034,R&D,Deep Learning,7,2937,2016-02-24,2016-03-02,Completed,Paris
EMP_200034,R&D,Python Advanced,6,1873,2017-01-24,2017-02-03,Completed,Paris
EMP_200035,R&D,Data Engineering,5,2129,2023-02-21,2023-02-26,Completed,Paris
EMP_200036,R&D,Cloud Architecture AWS,4,2767,2015-10-21,2015-10-27,Completed,Paris
EMP_200036,R&D,Python Advanced,6,2397,2017-12-01,,InProgress,Paris
EMP_200036,R&D,Cloud Architecture AWS,4,2317,2018-01-23,2018-01-27,Completed,Paris
EMP_200036,R&D,Deep Learning,7,3636,2019-05-25,2019-06-01,Completed,Paris
EMP_200037,R&D,Machine Learning,5,2760,2017-04-23,2017-05-01,Completed,Paris
EMP_200038,R&D,Data Engineering,5,2229,2019-05-03,2019-05-11,Completed,Paris
EMP_200038,R&D,Cloud Architecture AWS,4,2272,2022-03-05,2022-03-09,Completed,Paris
EMP_200038,R&D,Machine Learning,5,3024,2024-01-29,2024-02-07,Completed,Paris
EMP_200039,R&D,Data Engineering,5,2214,2015-02-09,,Cancelled,Paris
EMP_200039,R&D,Agile Scrum,2,845,2016-04-03,2016-04-08,Completed,Paris
EMP_200039,R&D,Data Engineering,5,2751,2018-08-28,2018-09-03,Completed,Paris
EMP_200039,R&D,Machine Learning,5,2463,2023-11-13,2023-11-23,Completed,Paris
EMP_200039,R&D,Data Engineering,5,2401,2024-07-09,,Cancelled,Paris
EMP_200039,R&D,Cloud Architecture AWS,4,2707,2025-04-11,2025-04-18,Completed,Paris
EMP_200040,R&D,Machine Learning,5,3202,2020-05-21,2020-05-26,Completed,Paris
EMP_200041,R&D,Agile Scrum,2,888,2017-03-07,,InProgress,Paris
EMP_200041,R&D,Cloud Architecture AWS,4,2636,2018-04-18,2018-04-22,Completed,Paris
EMP_200041,R&D,Cloud Architecture AWS,4,2290,2019-06-14,2019-06-21,Completed,Paris
EMP_200041,R&D,Machine Learning,5,2968,2023-06-13,2023-06-19,Completed,Paris
EMP_200041,R&D,Cloud Architecture AWS,4,2141,2024-11-10,2024-11-17,Completed,Paris
EMP_200042,R&D,Deep Learning,7,3116,2015-12-21,2016-01-02,Completed,Paris
EMP_200042,R&D,Python Advanced,6,2479,2017-09-10,,InProgress,Paris
EMP_200042,R&D,Agile Scrum,2,764,2024-03-18,2024-03-21,Completed,Paris
EMP_200042,R&D,Data Engineering,5,2239,2025-05-22,2025-05-29,Completed,Paris
EMP_200043,R&D,Cloud Architecture AWS,4,2650,2015-09-10,2015-09-15,Completed,Paris
EMP_200043,R&D,Machine Learning,5,3122,2019-01-06,2019-01-11,Completed,Paris
EMP_200045,R&D,Deep Learning,7,2779,2015-06-23,2015-07-01,Completed,Paris
EMP_200046,R&D,Data Engineering,5,2070,2015-02-22,,InProgress,Paris
EMP_200046,R&D,Cloud Architecture AWS,4,2229,2018-11-24,,InProgress,Paris
EMP_200046,R&D,Cloud Architecture AWS,4,2379,2019-01-19,2019-01-28,Completed,Paris
EMP_200047,R&D,Cloud Architecture AWS,4,2834,2017-01-20,,InProgress,Paris
EMP_200047,R&D,Python Advanced,6,2199,2022-09-26,2022-10-03,Completed,Paris
EMP_200048,R&D,Agile Scrum,2,757,2015-04-14,2015-04-21,Completed,Paris
EMP_200048,R&D,Data Engineering,5,2452,2022-07-26,2022-07-31,Completed,Paris
EMP_200048,R&D,Machine Learning,5,2867,2024-03-05,,Cancelled,Paris
EMP_200049,R&D,Data Engineering,5,2219,2017-01-28,2017-02-05,Completed,Paris
EMP_200049,R&D,Agile Scrum,2,877,2018-09-14,2018-09-21,Completed,Paris
EMP_200049,R&D,Cloud Architecture AWS,4,2556,2023-05-21,2023-05-29,Completed,Paris
EMP_200050,R&D,Python Advanced,6,1923,2016-04-04,,Cancelled,Paris
EMP_200050,R&D,Python Advanced,6,2229,2019-08-10,2019-08-21,Completed,Paris
EMP_200050,R&D,Machine Learning,5,2829,2021-11-04,,Cancelled,Paris
EMP_200050,R&D,Agile Scrum,2,847,2023-10-17,2023-10-22,Completed,Paris
EMP_200052,R&D,Agile Scrum,2,707,2015-02-25,2015-03-03,Completed,Paris
EMP_200053,R&D,Data Engineering,5,2582,2018-09-28,2018-10-04,Completed,Paris
EMP_200053,R&D,Cloud Architecture AWS,4,2478,2021-10-14,2021-10-23,Completed,Paris
EMP_200053,R&D,Data Engineering,5,2235,2022-07-10,2022-07-16,Completed,Paris
EMP_200053,R&D,Deep Learning,7,2909,2023-05-30,,InProgress,Paris
EMP_200054,R&D,Python Advanced,6,2359,2016-01-03,2016-01-11,Completed,Paris
EMP_200055,R&D,Cloud Architecture AWS,4,2627,2016-04-02,2016-04-07,Completed,Paris
EMP_200055,R&D,Python Advanced,6,2221,2017-09-26,2017-10-07,Completed,Paris
EMP_200055,R&D,Python Advanced,6,2169,2021-12-25,2022-01-04,Completed,Paris
EMP_200055,R&D,Python Advanced,6,2490,2025-02-13,2025-02-24,Completed,Paris
EMP_200056,R&D,Cloud Architecture AWS,4,2184,2015-06-27,,InProgress,Paris
EMP_200057,R&D,Python Advanced,6,2048,2016-05-21,2016-05-29,Completed,Paris
EMP_200057,R&D,Deep Learning,7,3312,2020-10-25,,Cancelled,Paris
EMP_200057,R&D,Cloud Architecture AWS,4,2807,2021-01-25,,InProgress,Paris
EMP_200057,R&D,Deep Learning,7,3554,2022-03-07,2022-03-15,Completed,Paris
EMP_200057,R&D,Python Advanced,6,2114,2023-03-22,2023-03-30,Completed,Paris
EMP_200057,R&D,Data Engineering,5,2582,2025-10-15,,Cancelled,Paris
EMP_200058,R&D,Cloud Architecture AWS,4,2470,2016-09-09,2016-09-14,Completed,Paris
EMP_200058,R&D,Data Engineering,5,2347,2018-06-28,2018-07-03,Completed,Paris
EMP_200059,R&D,Deep Learning,7,3648,2018-02-26,2018-03-09,Completed,Paris
EMP_200059,R&D,Data Engineering,5,2217,2019-07-08,,InProgress,Paris
EMP_200060,R&D,Data Engineering,5,2468,2018-09-15,2018-09-24,Completed,Paris
EMP_200061,R&D,Agile Scrum,2,873,2015-10-29,2015-11-01,Completed,Paris
EMP_200061,R&D,Deep Learning,7,2955,2017-07-22,2017-07-29,Completed,Paris
EMP_200062,R&D,Cloud Architecture AWS,4,2483,2015-01-21,2015-01-28,Completed,Paris
EMP_200062,R&D,Machine Learning,5,3123,2016-01-10,2016-01-17,Completed,Paris
EMP_200063,R&D,Python Advanced,6,2093,2016-01-18,2016-01-25,Completed,Paris
EMP_200064,R&D,Data Engineering,5,2209,2016-10-30,2016-11-08,Completed,Paris
EMP_200064,R&D,Data Engineering,5,2327,2017-10-28,2017-11-02,Completed,Paris
EMP_200064,R&D,Deep Learning,7,3564,2021-11-20,2021-11-30,Completed,Paris
EMP_200064,R&D,Deep Learning,7,2953,2024-04-15,2024-04-23,Completed,Paris
EMP_200065,R&D,Python Advanced,6,1870,2018-08-27,,InProgress,Paris
EMP_200065,R&D,Deep Learning,7,3351,2019-02-16,2019-02-26,Completed,Paris
EMP_200065,R&D,Deep Learning,7,3167,2020-03-09,,Cancelled,Paris
EMP_200066,R&D,Data Engineering,5,2707,2015-05-09,2015-05-18,Completed,Paris
EMP_200066,R&D,Agile Scrum,2,886,2016-04-30,2016-05-06,Completed,Paris
EMP_200066,R&D,Agile Scrum,2,720,2017-07-07,,Cancelled,Paris
EMP_200067,R&D,Cloud Architecture AWS,4,2337,2018-10-16,,InProgress,Paris
EMP_200069,R&D,Agile Scrum,2,855,2015-01-16,2015-01-21,Completed,Paris
EMP_200069,R&D,Agile Scrum,2,799,2016-03-10,2016-03-13,Completed,Paris
EMP_200069,R&D,Deep Learning,7,2891,2021-01-18,,InProgress,Paris
EMP_200070,R&D,Machine Learning,5,3203,2017-03-02,2017-03-07,Completed,Paris
EMP_200070,R&D,Python Advanced,6,2050,2019-06-27,2019-07-05,Completed,Paris
EMP_200070,R&D,Deep Learning,7,3635,2020-02-04,2020-02-11,Completed,Paris
EMP_200070,R&D,Data Engineering,5,2283,2021-01-27,,Cancelled,Paris
EMP_200071,R&D,Python Advanced,6,1879,2016-02-23,2016-03-01,Completed,Paris
EMP_200071,R&D,Agile Scrum,2,865,2017-08-22,2017-08-28,Completed,Paris
EMP_200071,R&D,Agile Scrum,2,905,2019-10-09,2019-10-14,Completed,Paris
EMP_200071,R&D,Agile Scrum,2,890,2021-09-08,2021-09-12,Completed,Paris
EMP_200071,R&D,Agile Scrum,2,816,2023-04-23,2023-04-29,Completed,Paris
EMP_200071,R&D,Cloud Architecture AWS,4,2586,2025-01-21,2025-01-27,Completed,Paris
EMP_200073,R&D,Python Advanced,6,2416,2017-08-07,2017-08-18,Completed,Paris
EMP_200073,R&D,Deep Learning,7,3338,2020-09-22,,Cancelled,Paris
EMP_200073,R&D,Cloud Architecture AWS,4,2753,2023-01-31,2023-02-04,Completed,Paris
EMP_200074,R&D,Agile Scrum,2,878,2016-08-01,2016-08-07,Completed,Paris
EMP_200074,R&D,Data Engineering,5,2110,2017-09-23,2017-10-01,Completed,Paris
EMP_200074,R&D,Python Advanced,6,2203,2019-11-16,2019-11-26,Completed,Paris
EMP_200075,R&D,Data Engineering,5,2260,2018-03-31,2018-04-09,Completed,Paris
EMP_200075,R&D,Machine Learning,5,2696,2019-04-13,2019-04-19,Completed,Paris
EMP_200075,R&D,Machine Learning,5,2947,2022-01-05,2022-01-11,Completed,Paris
EMP_200075,R&D,Deep Learning,7,3586,2023-07-26,,InProgress,Paris
EMP_200076,R&D,Agile Scrum,2,899,2019-02-24,2019-02-27,Completed,Paris
EMP_200077,R&D,Deep Learning,7,3423,2016-01-29,2016-02-10,Completed,Paris
EMP_200077,R&D,Machine Learning,5,2512,2017-01-12,,InProgress,Paris
EMP_200077,R&D,Cloud Architecture AWS,4,2707,2018-09-20,,InProgress,Paris
EMP_200077,R&D,Cloud Architecture AWS,4,2309,2019-09-10,2019-09-19,Completed,Paris
EMP_200078,R&D,Python Advanced,6,2441,2018-05-08,,InProgress,Paris
EMP_200079,R&D,Deep Learning,7,3292,2017-09-25,2017-10-06,Completed,Paris
EMP_200080,R&D,Data Engineering,5,2287,2015-05-21,2015-05-31,Completed,Paris
EMP_200080,R&D,Deep Learning,7,3575,2018-10-31,2018-11-09,Completed,Paris
EMP_200080,R&D,Cloud Architecture AWS,4,2299,2019-10-04,,InProgress,Paris
EMP_200081,R&D,Agile Scrum,2,869,2017-07-27,2017-08-01,Completed,Paris
EMP_200083,R&D,Data Engineering,5,2470,2017-05-14,2017-05-24,Completed,Paris
EMP_200083,R&D,Python Advanced,6,2145,2018-03-24,2018-04-03,Completed,Paris
EMP_200083,R&D,Data Engineering,5,2650,2020-01-07,2020-01-13,Completed,Paris
EMP_200084,R&D,Agile Scrum,2,886,2015-05-13,2015-05-18,Completed,Paris
EMP_200084,R&D,Python Advanced,6,2379,2017-11-30,2017-12-10,Completed,Paris
EMP_200084,R&D,Machine Learning,5,2953,2018-11-19,2018-11-27,Completed,Paris
EMP_200085,R&D,Cloud Architecture AWS,4,2829,2015-07-04,2015-07-12,Completed,Paris
EMP_200087,R&D,Python Advanced,6,1907,2015-02-22,,Cancelled,Paris
EMP_200087,R&D,Cloud Architecture AWS,4,2561,2016-11-25,,Cancelled,Paris
EMP_200087,R&D,Python Advanced,6,2001,2019-12-14,2019-12-24,Completed,Paris
EMP_200087,R&D,Agile Scrum,2,752,2024-11-10,2024-11-12,Completed,Paris
EMP_200089,R&D,Data Engineering,5,2759,2015-07-24,2015-08-03,Completed,Paris
EMP_200089,R&D,Deep Learning,7,3668,2018-11-24,2018-12-04,Completed,Paris
EMP_200089,R&D,Python Advanced,6,2295,2022-07-19,2022-07-29,Completed,Paris
EMP_200089,R&D,Machine Learning,5,3122,2025-09-10,2025-09-17,Completed,Paris
EMP_200090,R&D,Agile Scrum,2,888,2018-06-16,2018-06-18,Completed,Paris
EMP_200091,R&D,Agile Scrum,2,916,2019-12-04,2019-12-11,Completed,Paris
EMP_200091,R&D,Agile Scrum,2,696,2022-04-14,2022-04-16,Completed,Paris
EMP_200094,R&D,Data Engineering,5,2242,2015-07-10,2015-07-17,Completed,Paris
EMP_200094,R&D,Deep Learning,7,2782,2016-12-08,2016-12-19,Completed,Paris
EMP_200094,R&D,Data Engineering,5,2302,2018-10-11,,InProgress,Paris
EMP_200094,R&D,Cloud Architecture AWS,4,2207,2023-02-11,2023-02-20,Completed,Paris
EMP_200096,R&D,Agile Scrum,2,762,2016-10-19,2016-10-21,Completed,Paris
EMP_200097,R&D,Deep Learning,7,2926,2016-04-25,2016-05-07,Completed,Paris
EMP_200097,R&D,Deep Learning,7,3445,2017-02-09,2017-02-20,Completed,Paris
EMP_200097,R&D,Data Engineering,5,2488,2018-07-03,,Cancelled,Paris
EMP_200097,R&D,Deep Learning,7,3017,2022-05-24,2022-06-04,Completed,Paris
EMP_200098,R&D,Machine Learning,5,2589,2015-05-01,,Cancelled,Paris
EMP_200098,R&D,Python Advanced,6,1896,2016-01-21,,InProgress,Paris
EMP_200099,R&D,Machine Learning,5,2433,2018-01-28,2018-02-02,Completed,Paris
EMP_200099,R&D,Python Advanced,6,2509,2019-12-19,2019-12-29,Completed,Paris
EMP_200099,R&D,Data Engineering,5,2228,2022-06-12,2022-06-20,Completed,Paris
EMP_200100,R&D,Data Engineering,5,2302,2016-03-01,,Cancelled,Paris
EMP_200101,R&D,Agile Scrum,2,799,2016-01-26,2016-01-31,Completed,Paris
EMP_200102,R&D,Agile Scrum,2,749,2015-04-01,2015-04-03,Completed,Paris
EMP_200102,R&D,Data Engineering,5,2176,2019-07-25,2019-07-30,Completed,Paris
EMP_200102,R&D,Deep Learning,7,3552,2021-10-16,,Cancelled,Paris
EMP_200102,R&D,Cloud Architecture AWS,4,2660,2022-01-24,2022-01-29,Completed,Paris
EMP_200102,R&D,Deep Learning,7,3078,2023-11-22,2023-11-29,Completed,Paris
EMP_200102,R&D,Machine Learning,5,2533,2024-05-26,2024-06-01,Completed,Paris
EMP_200103,R&D,Agile Scrum,2,690,2020-06-29,,Cancelled,Paris
EMP_200104,R&D,Data Engineering,5,2238,2015-07-22,2015-07-28,Completed,Paris
EMP_200104,R&D,Agile Scrum,2,743,2018-07-17,,InProgress,Paris
EMP_200104,R&D,Cloud Architecture AWS,4,2862,2022-03-14,,Cancelled,Paris
EMP_200104,R&D,Data Engineering,5,2143,2023-04-01,2023-04-10,Completed,Paris
EMP_200104,R&D,Data Engineering,5,2587,2025-04-19,,InProgress,Paris
EMP_200105,R&D,Python Advanced,6,1921,2015-07-02,2015-07-13,Completed,Paris
EMP_200105,R&D,Cloud Architecture AWS,4,2768,2016-05-24,2016-06-02,Completed,Paris
EMP_200106,R&D,Agile Scrum,2,860,2017-03-16,2017-03-21,Completed,Paris
EMP_200107,R&D,Machine Learning,5,2847,2016-03-18,2016-03-23,Completed,Paris
EMP_200107,R&D,Data Engineering,5,2542,2020-03-18,,Cancelled,Paris
EMP_200108,R&D,Data Engineering,5,2057,2015-03-21,2015-03-26,Completed,Paris
EMP_200108,R&D,Agile Scrum,2,833,2017-03-16,2017-03-21,Completed,Paris
EMP_200108,R&D,Python Advanced,6,1915,2022-02-20,2022-03-02,Completed,Paris
EMP_200108,R&D,Python Advanced,6,2310,2024-03-02,,Cancelled,Paris
EMP_200109,R&D,Deep Learning,7,3155,2015-10-23,,InProgress,Paris
EMP_200109,R&D,Agile Scrum,2,895,2017-09-06,,InProgress,Paris
EMP_200109,R&D,Machine Learning,5,2641,2019-07-22,,Cancelled,Paris
EMP_200109,R&D,Agile Scrum,2,727,2021-11-06,2021-11-12,Completed,Paris
EMP_200109,R&D,Python Advanced,6,2081,2022-10-11,2022-10-21,Completed,Paris
EMP_200109,R&D,Cloud Architecture AWS,4,2574,2024-10-03,2024-10-10,Completed,Paris
EMP_200111,R&D,Deep Learning,7,2867,2015-02-05,2015-02-13,Completed,Paris
EMP_200111,R&D,Cloud Architecture AWS,4,2270,2017-05-09,2017-05-16,Completed,Paris
EMP_200112,R&D,Agile Scrum,2,808,2015-05-30,2015-06-04,Completed,Paris
EMP_200112,R&D,Cloud Architecture AWS,4,2128,2018-07-21,,Cancelled,Paris
EMP_200112,R&D,Cloud Architecture AWS,4,2865,2019-04-01,,InProgress,Paris
EMP_200113,R&D,Agile Scrum,2,902,2016-01-04,,InProgress,Paris
EMP_200114,R&D,Python Advanced,6,2330,2019-02-15,,Cancelled,Paris
EMP_200115,R&D,Cloud Architecture AWS,4,2326,2022-07-02,2022-07-09,Completed,Paris
EMP_200115,R&D,Machine Learning,5,2604,2023-08-10,2023-08-19,Completed,Paris
EMP_200116,R&D,Machine Learning,5,2927,2016-01-12,2016-01-21,Completed,Paris
EMP_200117,R&D,Deep Learning,7,3392,2015-02-25,2015-03-07,Completed,Paris
EMP_200117,R&D,Machine Learning,5,3116,2016-02-12,2016-02-18,Completed,Paris
EMP_200117,R&D,Cloud Architecture AWS,4,2298,2018-01-21,,Cancelled,Paris
EMP_200117,R&D,Data Engineering,5,2529,2019-05-27,2019-06-03,Completed,Paris
EMP_200117,R&D,Data Engineering,5,2500,2021-07-01,2021-07-10,Completed,Paris
EMP_200117,R&D,Agile Scrum,2,694,2025-04-23,2025-04-25,Completed,Paris
EMP_200118,R&D,Agile Scrum,2,802,2015-09-16,2015-09-22,Completed,Paris
EMP_200118,R&D,Cloud Architecture AWS,4,2328,2017-03-26,,InProgress,Paris
EMP_200118,R&D,Machine Learning,5,2819,2019-12-09,2019-12-16,Completed,Paris
EMP_200119,R&D,Deep Learning,7,3155,2015-12-14,,InProgress,Paris
EMP_200119,R&D,Deep Learning,7,3671,2016-10-15,2016-10-24,Completed,Paris
EMP_200119,R&D,Machine Learning,5,2833,2017-12-04,2017-12-09,Completed,Paris
EMP_200119,R&D,Agile Scrum,2,830,2019-01-25,2019-01-29,Completed,Paris
EMP_200119,R&D,Agile Scrum,2,762,2022-04-14,2022-04-16,Completed,Paris
EMP_200119,R&D,Machine Learning,5,3163,2023-07-09,2023-07-17,Completed,Paris
EMP_200119,R&D,Cloud Architecture AWS,4,2601,2024-11-04,,InProgress,Paris
EMP_200119,R&D,Cloud Architecture AWS,4,2831,2025-05-12,2025-05-17,Completed,Paris
EMP_200120,R&D,Cloud Architecture AWS,4,2712,2022-06-20,2022-06-29,Completed,Paris
EMP_200120,R&D,Machine Learning,5,2688,2024-01-20,2024-01-30,Completed,Paris
EMP_200121,R&D,Data Engineering,5,2548,2015-07-08,2015-07-18,Completed,Paris
EMP_200121,R&D,Deep Learning,7,3281,2016-08-13,,InProgress,Paris
EMP_200121,R&D,Data Engineering,5,2664,2017-06-24,,InProgress,Paris
EMP_200121,R&D,Deep Learning,7,3598,2018-10-07,2018-10-17,Completed,Paris
EMP_200121,R&D,Data Engineering,5,2336,2019-07-01,,Cancelled,Paris
EMP_200122,R&D,Data Engineering,5,2415,2015-08-08,,Cancelled,Paris
EMP_200122,R&D,Cloud Architecture AWS,4,2292,2017-02-07,2017-02-11,Completed,Paris
EMP_200122,R&D,Deep Learning,7,3007,2018-06-30,2018-07-07,Completed,Paris
EMP_200122,R&D,Data Engineering,5,2608,2019-10-15,2019-10-21,Completed,Paris
EMP_200122,R&D,Machine Learning,5,2546,2023-11-06,2023-11-11,Completed,Paris
EMP_200122,R&D,Machine Learning,5,2799,2025-02-15,2025-02-20,Completed,Paris
EMP_200123,R&D,Python Advanced,6,2430,2019-03-13,2019-03-24,Completed,Paris
EMP_200123,R&D,Deep Learning,7,3169,2023-12-26,2024-01-03,Completed,Paris
EMP_200126,R&D,Machine Learning,5,2798,2016-11-30,2016-12-08,Completed,Paris
EMP_200126,R&D,Python Advanced,6,2280,2017-03-16,,InProgress,Paris
EMP_200126,R&D,Machine Learning,5,3147,2018-04-23,2018-05-03,Completed,Paris
EMP_200126,R&D,Agile Scrum,2,714,2023-01-10,,InProgress,Paris
